team_name,team_url,team_logo_url
Udinese,https://fbref.com/en/squads/04eea015/Udinese-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/04eea015.png
Cagliari,https://fbref.com/en/squads/c4260e09/Cagliari-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/c4260e09.png
Celta Vigo,https://fbref.com/en/squads/f25da7fb/Celta-Vigo-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/f25da7fb.png
Lorient,https://fbref.com/en/squads/d2c87802/Lorient-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/d2c87802.png
Empoli,https://fbref.com/en/squads/a3d88bd8/Empoli-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/a3d88bd8.png
Clermont Foot,https://fbref.com/en/squads/d9676424/Clermont-Foot-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/d9676424.png
Mainz 05,https://fbref.com/en/squads/a224b06a/Mainz-05-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/a224b06a.png
Koln,https://fbref.com/en/squads/bc357bf7/Koln-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/bc357bf7.png
Darmstadt 98,https://fbref.com/en/squads/6a6967fc/Darmstadt-98-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/6a6967fc.png
Burnley,https://fbref.com/en/squads/943e8050/Burnley-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/943e8050.png
Salernitana,https://fbref.com/en/squads/c5577084/Salernitana-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/c5577084.png
Sheffield United,https://fbref.com/en/squads/1df6b87e/Sheffield-United-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/1df6b87e.png
Granada,https://fbref.com/en/squads/a0435291/Granada-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/a0435291.png
Almeria,https://fbref.com/en/squads/78ecf4bb/Almeria-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/78ecf4bb.png
